Month,Date,Country,Gateway,Telco,Shortcode,Keyword,Offer ID,Affiliate ID,Total Sales,ECPA,Day 1,Week 1,Month 3 (A),Month 3 (P),Month 4 (A),Month 4 (P),Month 5 (A),Month 5 (P),Month 6 (A),Month 6 (P)
2023/10,2023-10-16,jordan,comviva,zain,90910,gt,1200,442.0,571,0.276978417,0.096633016,0.136703196,0.512937928,0.47148547,0.600585882,0.5411849,0.676185105,0.6151301,0.712336909,0.64588475
2023/10,2023-10-28,egypt,mondiamedia,orange,7810,gz,1117,486.0,1049,0.040038132,0.004306867,0.014335456,0.054097932,0.04964257,0.063597504,0.053545777,0.070551298,0.05420912,0.070898195,0.057232186
2022/11,2022-11-14,uae,mondiamedia,etisalat,1741,gz,140,298,30,1.166666667,0.244029403,0.261845902,1.39023765,1.4365005,1.468650659,1.7220562,1.547066442,2.080905,1.547066442,2.389124
2023/9,2023-09-23,egypt,mondiamedia,etisalat,7786,pz,1487,234.0,34,0.132352941,0.002226639,0.004051531,0.022284384,0.031842835,0.023636772,0.034853294,0.025955152,0.040789336,0.025955152,0.041068465
2023/6,2023-06-10,jordan,comviva,zain,90910,mx,374,319,40,0.523076923,0.104393662,0.137534507,0.743781405,0.3649673,0.851743035,0.42887497,0.999323965,0.46755922,1.178454128,0.49422738
2023/10,2023-10-25,egypt,mondiamedia,etisalat,7786,a4a,347,151.0,99,0.065656566,0.00798274,0.017412466,0.043148086,0.09032151,0.055377447,0.09741507,0.056033316,0.104117714,0.056033316,0.10860102
2023/1,2023-01-31,jordan,mondiamedia,orange,8896201,mx,374,463,176,0.096590909,0.015181049,0.024516551,0.089908655,0.12269462,0.124941461,0.14854313,0.141276288,0.18614627,0.198488473,0.2178187
2023/7,2023-07-06,oman,mondiamedia,ooredoo,92023,a4a,875,500,36,1.0,0.082255355,0.294748356,1.214632151,1.2179968,1.517724285,1.3716656,1.77274326,1.5347295,2.027708915,1.6377275
2023/6,2023-06-30,malaysia,maxis,maxis,32775,bab2,868,378,256,1.816666667,0.198026715,0.25587353,1.186274245,1.1353121,1.428302664,1.3382953,1.686214687,1.5348272,1.896056576,1.6820742
2023/11,2023-11-21,jordan,tpay,umniah,91825,fp,1430,484,59,0.147413793,0.027275041,0.068905366,0.363133872,0.26979303,0.403343855,0.32324627,0.407652263,0.34022897,0.407652263,0.34733793
2023/12,2023-12-08,greece,datasms,vodafone,19577,gb,1043,494,32,1.875,0.141910175,0.236516958,0.427390898,0.7715224,0.427390898,1.0029813,0.427390898,1.1301982,0.427390898,1.2048067
2023/10,2023-10-22,jordan,tpay,umniah,91825,fp,1430,484.0,41,0.153658537,0.0,0.001376591,0.089497654,0.024216354,0.111528357,0.02595666,0.156986159,0.030718386,0.159741672,0.03011711
2023/9,2023-09-19,egypt,mondiamedia,etisalat,7786,pz,1487,463.0,116,0.129310345,0.002292559,0.007706619,0.053896246,0.043793228,0.056559469,0.047855966,0.057637938,0.052003883,0.058653429,0.053974576
2023/3,2023-03-06,qatar,actel,ooredoo,92875,sf,363,442,163,1.335365854,0.211448184,0.31733047,1.108339899,1.1575449,1.259722434,1.3192147,1.355344917,1.4575858,1.425709091,1.5395088
2022/10,2022-10-22,jordan,comviva,zain,90910,px,130,450,941,0.47183847,0.040941488,0.063772887,0.265309963,0.25163066,0.307488032,0.29662195,0.333778502,0.32797986,0.353094701,0.35520017
2023/7,2023-07-08,malaysia,maxis,maxis,32775,xde,871,151,44,1.363636364,0.182305111,0.336563283,1.159757024,1.2022153,1.326942765,1.4162395,1.45135842,1.6226145,1.547586359,1.7822132
2023/12,2023-12-27,thailand,macrokiosk,ais,4541583,b6,482,52,186,0.1125,0.002559583,0.006456824,0.034406348,0.044942677,0.034406348,0.050134853,0.034406348,0.05808799,0.034406348,0.05987937
2022/11,2022-11-27,malaysia,maxis,maxis,32775,d40,53,378,149,1.0,0.235069667,0.339163153,1.421541229,1.446144,1.65062586,1.7116615,1.888663823,1.9833393,2.051424674,2.187216
2023/10,2023-10-24,thailand,qr,ais,4219501,g1,647,206.0,125,0.0864,0.000975817,0.005366995,0.042192091,0.04335833,0.04776978,0.048286647,0.050269421,0.05599583,0.05325162,0.057604305
2023/12,2023-12-03,malaysia,maxis,maxis,33187,goz,1494,147,62,2.0,0.53653825,0.53653825,2.80246056,3.0316396,2.954341573,3.2662246,2.954341573,3.3530922,2.954341573,3.32474
2023/1,2023-01-29,thailand,macrokiosk,ais,4541560,b1,85,210,207,0.088888889,0.007051133,0.013185892,0.075331724,0.06314401,0.090319282,0.072113745,0.094428695,0.08380507,0.105344788,0.08922088
2023/10,2023-10-24,jordan,tpay,umniah,91825,fp,1430,484.0,53,0.144339623,0.013843834,0.045791144,0.161905856,0.19235638,0.175753293,0.21138313,0.178950277,0.21604224,0.1810819,0.22287928
2022/11,2022-11-07,kenya,socialcom,safaricom,21271,4,81,151,41,0.053658537,0.0,0.003628399,0.044863278,0.048526578,0.051939388,0.054315638,0.063950125,0.06282062,0.06561725,0.065025724
2023/10,2023-10-26,thailand,macrokiosk,ais,4541560,b1,65,457.0,30,0.12,0.015349936,0.01918742,0.039302553,0.07099056,0.039302553,0.07869448,0.039302553,0.08359378,0.039302553,0.088999666
2023/3,2023-03-21,qatar,actel,vodafone,97710,ayr,33,319,39,0.269230769,0.003165175,0.011253252,0.059830815,0.05218279,0.059830815,0.058580775,0.059830815,0.06764874,0.059830815,0.07027592
2022/12,2022-12-01,greece,datasms,cosmote,19577,gb,317,297,48,4.487179487,0.320304825,0.750714434,2.742183816,2.3054972,3.029172331,2.4854314,3.333577101,2.6255143,3.430084496,2.7123272
2022/11,2022-11-07,malaysia,dcbumobile,umobile,12668,gs,90,210,50,2.0,0.719120128,1.021150582,3.015781097,2.7761083,3.380377166,3.1369936,3.60812065,3.4235811,3.761748845,3.602899
2023/11,2023-11-21,jordan,mondiamedia,orange,8896201,gz,1200,442,618,0.195335516,0.016630645,0.064526903,0.090135424,0.1141172,0.090135424,0.11600274,0.090135424,0.13179368,0.090135424,0.14160702
2023/11,2023-11-07,egypt,mondiamedia,etisalat,7786,a4a,491,511,48,0.1,0.009841461,0.019275535,0.053330111,0.06287967,0.055654697,0.06872614,0.055654697,0.07041691,0.055654697,0.07505499
2023/10,2023-10-13,egypt,mondiamedia,orange,7810,pz,1487,147.0,134,0.197761194,0.005049703,0.016832343,0.121145821,0.08213,0.131325087,0.0884867,0.137178998,0.097429104,0.139794053,0.10785122
2023/11,2023-11-22,malaysia,maxis,maxis,32775,d43,1000087,451,203,1.8,0.151862061,0.385610528,1.372294541,1.1413043,1.597123138,1.244105,1.62495552,1.3117726,1.62495552,1.3288416
2023/10,2023-10-16,jordan,tpay,orange,99222,fp,1430,484.0,50,0.198,0.085231116,0.258534385,0.724535381,0.4722128,0.724535381,0.46412474,0.724535381,0.47753274,0.724535381,0.47742823
2023/9,2023-09-27,egypt,mondiamedia,etisalat,7786,pz,1487,151.0,60,0.066666667,0.002164686,0.002205847,0.035857214,0.028576657,0.037280442,0.03104315,0.03859419,0.03647627,0.03859419,0.036378354
2023/10,2023-10-27,egypt,mondiamedia,orange,7810,a4a,1345,384.0,748,0.071619813,0.001644774,0.004824953,0.014872234,0.01402352,0.018487966,0.014066249,0.021005526,0.017258503,0.021005526,0.015480563
2023/6,2023-06-11,egypt,mondiamedia,etisalat,7786,a4a,347,382,149,0.036912752,0.001939376,0.003596962,0.043988464,0.020721033,0.063105945,0.021879211,0.067545102,0.026102737,0.068517468,0.025097959
2023/8,2023-08-11,saudiarabia,knc,stc,801984,3,1176,508,81,3.0,0.0,0.216387878,2.934396243,1.8694632,3.819696255,2.2308757,4.637639321,2.623859,5.270227709,2.9578552
2022/11,2022-11-17,malaysia,dcbumobile,umobile,12668,gs,90,336,38,2.0,0.700195914,0.946210695,2.888925355,2.7466393,3.336029873,3.169562,3.677034435,3.5361166,3.979300015,3.7615552
2023/8,2023-08-08,iraq,iraqcom,asiacell,2920,1,3742,75,236,0.076271186,0.0,0.018280118,0.160584738,0.15286344,0.182415921,0.1728627,0.206118252,0.19905221,0.227510975,0.21033575
2023/6,2023-06-11,egypt,mondiamedia,orange,7810,a4a,347,151,44,0.034090909,0.0,0.005592558,0.005592558,0.029989071,0.005592558,0.032749295,0.005592558,0.03684722,0.005592558,0.037201874
2023/12,2023-12-26,malaysia,maxis,maxis,33186,fnp,1495,458,73,1.506849315,0.53653825,0.53653825,2.818608504,3.536694,2.818608504,4.078857,2.818608504,4.4051824,2.818608504,4.5097675
2023/7,2023-07-31,malaysia,dcbumobile,umobile,12668,gs,90,206,116,1.982758621,0.728441364,1.170469176,2.97626109,2.900393,3.223241202,3.2498202,3.392944681,3.523809,3.533277129,3.6643102
2023/6,2023-06-25,romania,nth,orange,1280,mobsp,488,210,38,3.947368421,1.411139614,2.434641361,6.270635353,9.668554,6.677663549,10.987995,6.972114148,11.879217,7.273089458,12.304582
2023/3,2023-03-23,saudiarabia,actel,mobily,606068,98,741,442,258,0.708208955,0.00128069,0.008324487,0.10951716,0.09542184,0.131301954,0.10597895,0.151800795,0.121481344,0.163332222,0.13300467
2022/11,2022-11-09,malaysia,dcbumobile,umobile,12668,gs,90,238,34,2.0,0.719120128,1.0575296,3.568024918,2.7323122,4.122934351,3.0866456,4.502747008,3.3765106,4.863955426,3.5456524
2023/7,2023-07-08,jordan,tpay,umniah,91825,fp,815,484,56,0.214285714,0.012096043,0.029232105,0.272454158,0.12608828,0.360145788,0.14896053,0.434756672,0.1743924,0.512379346,0.19085544
2023/1,2023-01-14,egypt,mondiamedia,orange,7810,a4a,347,151,172,0.026315789,0.002980417,0.00645757,0.050190496,0.02569402,0.071777117,0.02768042,0.09192293,0.03266968,0.111953399,0.03223899
2022/12,2022-12-26,palestine,mondiamedia,jawwal,8897001,pz,117,438,73,0.123287671,0.008397765,0.027787857,0.189715267,0.13310494,0.225708406,0.15063304,0.248491173,0.16666472,0.265449668,0.17898461
2022/11,2022-11-03,qatar,actel,vodafone,97710,amt,55,378,44,0.318181818,0.022552197,0.045843811,0.129097641,0.13753882,0.13145323,0.14880615,0.145791184,0.14703782,0.145791184,0.15569006
2022/11,2022-11-06,malaysia,dcbumobile,umobile,12668,gs,90,238,35,2.0,0.719120128,0.98622189,2.961965857,2.600313,3.434930406,2.9557054,3.652041072,3.2521725,3.937593846,3.4344034
2023/3,2023-03-29,uae,tpay,etisalat,1151,ed,163,210,38,1.105263158,0.171702743,0.28771901,0.517055449,0.662712,0.551752609,0.72350127,0.613432251,0.77142197,0.707562793,0.8139634
2022/10,2022-10-09,thailand,macrokiosk,ais,4541560,b1,85,385,355,0.107563025,0.005946822,0.012206634,0.057580396,0.052687187,0.070700773,0.058908824,0.080283735,0.06704739,0.086030686,0.0698194
2023/2,2023-02-07,egypt,mondiamedia,we,4036,a4a,347,151,68,0.176470588,0.017738043,0.063812047,0.298076123,0.28337651,0.346019623,0.35293394,0.397121787,0.3801583,0.407869465,0.43019098
2023/4,2023-04-20,uae,actel,etisalat,1111,plx,894,459,77,3.0,0.075146525,0.341073276,1.475200499,1.2064127,1.670212485,1.3455908,1.693435448,1.4436667,1.717786342,1.4942906
2023/2,2023-02-13,greece,datasms,vodafone,19577,gb,317,297,374,1.515358362,0.281729884,0.763353828,0.913609766,1.5122622,0.913609766,1.4954094,0.913609766,1.5296261,0.913609766,1.5301459
2022/12,2022-12-21,thailand,macrokiosk,ais,4541583,b6,91,151,250,0.111111111,0.011452594,0.019087656,0.101018651,0.07785663,0.114142502,0.087666094,0.129498116,0.097362876,0.14319647,0.10585715
2023/11,2023-11-02,egypt,mondiamedia,orange,7810,pz,1487,151.0,38,0.065789474,0.0,0.004317426,0.013492641,0.023932062,0.045866006,0.025625013,0.045866006,0.030342966,0.045866006,0.02970887
2023/6,2023-06-22,iraq,iraqcom,asiacell,2920,1,3742,507,115,0.55,0.000853451,0.04565963,0.289167139,0.2580842,0.344113412,0.29559338,0.380348413,0.32713693,0.41747759,0.3519455
2023/12,2023-12-27,iraq,iraqcom,asiacell,2920,1,3742,354,38,0.307692308,0.003875335,0.03743101,0.237533623,0.21989039,0.238824894,0.24689409,0.238824894,0.2644273,0.238824894,0.28298932
2022/11,2022-11-20,thailand,macrokiosk,ais,4541560,b1,85,191,103,0.108737864,0.009641613,0.010712903,0.03980787,0.05007481,0.051778842,0.056107476,0.056523742,0.06421387,0.060141638,0.06713085
2023/7,2023-07-17,saudiarabia,knc,stc,801984,3,1176,508,63,3.0,0.0,0.039758615,1.579233982,1.4657111,2.016514352,1.8637124,2.330887501,2.2737322,2.453771656,2.5604177
2022/12,2022-12-27,jordan,comviva,zain,90910,mx,252,353,290,0.289655172,0.117037951,0.153180269,0.447769732,0.44219634,0.511362472,0.50581264,0.569808318,0.55546916,0.595869484,0.5772319
2023/11,2023-11-10,greece,lilymobile,cosmote,54004,pzo,1490,489,100,0.0,0.173209649,0.923784794,2.717016063,2.203274,2.997632257,2.1416175,3.11871278,2.2378447,3.11871278,2.2595778
2023/11,2023-11-01,egypt,mondiamedia,we,4036,a4a,1117,486.0,33,0.033333333,0.034349112,0.073669805,0.143259018,0.33908752,0.151385712,0.33941242,0.163860838,0.36827332,0.163860838,0.3641588
2023/9,2023-09-26,jordan,mondiamedia,orange,8896201,mx,933,304.0,113,0.14159292,0.032798727,0.171151281,0.591202358,0.47474703,0.591202358,0.53193206,0.591202358,0.5004862,0.591202358,0.47288027
2022/10,2022-10-17,jordan,mondiamedia,orange,8896201,mx,130,438,175,0.417142857,0.02113086,0.043826969,0.140849918,0.15780465,0.169032345,0.18756092,0.199552717,0.21849604,0.225390246,0.24680051
2023/11,2023-11-10,greece,lilymobile,wind,54004,fnp,625,479,237,0.0,0.023611831,0.897249593,3.812028808,2.7742977,4.540178754,2.731026,4.664977356,2.8819623,4.664977356,2.9005601
2023/2,2023-02-04,malaysia,dcbumobile,umobile,12668,gs,90,104,51,2.5,0.797841144,1.204583688,3.69805075,3.6564965,4.352663529,4.251602,4.698838771,4.719337,4.927369395,5.0446467
2023/7,2023-07-21,oman,actel,omantel,92931,d,1000049,475,44,1.8,0.045456907,0.090913814,0.487634484,0.33715516,0.520700452,0.39270666,0.559546559,0.41614413,0.574423636,0.43363765
2023/12,2023-12-12,egypt,mondiamedia,we,4036,prizeo,994,511,69,0.197101449,0.018806949,0.050151865,0.336900616,0.25445238,0.375539927,0.2782125,0.375539927,0.29814506,0.375539927,0.30247796
2023/10,2023-10-25,jordan,comviva,zain,90910,gt,375,104.0,40,0.6,0.091188698,0.14094061,0.411278402,0.39541304,0.421229766,0.44481862,0.421229766,0.4988854,0.421229766,0.52077794
2023/7,2023-07-16,malaysia,dcbumobile,umobile,12668,gs,90,206,63,1.984126984,0.728441364,1.202506379,3.050095939,2.8883345,3.358602274,3.2220416,3.56478843,3.482357,3.72742996,3.6143253
2023/9,2023-09-06,saudiarabia,knc,mobily,602002,16,1176,508.0,224,3.0,0.013025466,0.078966889,0.4371611,0.40093493,0.51531051,0.4819403,0.574753208,0.5257233,0.601623713,0.5673564
2023/3,2023-03-12,egypt,mondiamedia,etisalat,7786,a4a,347,463,54,0.037037037,0.0,0.002059278,0.011459379,0.017917544,0.012905846,0.018608809,0.012905846,0.022400655,0.012905846,0.021072239
2023/1,2023-01-04,egypt,mondiamedia,we,4036,a4a,347,151,51,0.205882353,0.019737691,0.038744356,0.230433673,0.20369151,0.2794512,0.22782081,0.302471793,0.24454847,0.324110971,0.25866717
2023/10,2023-10-11,malaysia,maxis,maxis,32775,bab8,1313,500.0,38,1.421052632,0.121062998,0.274409462,1.04476847,0.8140092,1.208151286,0.9135204,1.335017177,1.0218941,1.373564756,1.077461
2023/12,2023-12-28,egypt,mondiamedia,orange,7810,pz,994,500,72,0.034722222,0.001139406,0.002563663,0.01392639,0.026218615,0.01392639,0.028292388,0.01392639,0.03336242,0.01392639,0.03299229
2023/10,2023-10-03,thailand,macrokiosk,ais,4541560,b1,65,457.0,42,0.114285714,0.00274106,0.00822318,0.04439144,0.043418597,0.047310686,0.048356943,0.055809632,0.05607541,0.061394274,0.057690844
2023/5,2023-05-04,thailand,macrokiosk,ais,4541560,b1,65,210,51,0.047058824,0.004871153,0.017049037,0.059813733,0.07384089,0.06946678,0.083275475,0.076523284,0.0932173,0.081037971,0.09950435
2023/12,2023-12-06,egypt,mondiamedia,orange,7810,pz,1487,147,1166,0.199657241,0.004995405,0.012787533,0.068498146,0.045370393,0.075109794,0.048779957,0.075109794,0.04962819,0.075109794,0.0520856
2023/11,2023-11-10,kenya,nth,safaricom,72222,game,1517,104,48,0.3125,0.0,0.001148566,0.019252153,0.007859513,0.021384163,0.0068756565,0.024913074,0.0091187805,0.024913074,0.0066292733
2023/9,2023-09-19,indonesia,macrokiosk,satelindo,95799,lucu1,578,372.0,181,0.08258427,0.00391219,0.005588844,0.028455699,0.019860618,0.037838522,0.020875491,0.046539654,0.024966523,0.054113826,0.023862422
2023/10,2023-10-03,egypt,mondiamedia,orange,7810,a4a,347,463.0,30,0.1,0.005467961,0.021871845,0.073817477,0.11130564,0.106540463,0.11995959,0.106540463,0.1293183,0.106540463,0.1325479
2023/7,2023-07-18,thailand,qr,ais,4219501,g1,647,206,34,0.088235294,0.003706088,0.027795662,0.07487514,0.11637707,0.078462704,0.12302957,0.091256191,0.12933965,0.115588137,0.1368916
